scope,rank,value,events
ECCS-INJECTION,1,2.556e-05,CCF-ECC-PMP-FTS-A-B
ECCS-INJECTION,2,7.04664e-06,ECC-PMP-A-TM;ECC-PMP-B-FTS
ECCS-INJECTION,3,4.31845e-06,ECC-PMP-A-TM;ECC-PMP-B-FTR
ECCS-INJECTION,4,1.37931e-06,ECC-PMP-A-FTS;ECC-PMP-B-FTS
ECCS-INJECTION,5,8.45292e-07,ECC-PMP-A-FTS;ECC-PMP-B-FTR
ECCS-INJECTION,6,8.45292e-07,ECC-PMP-A-FTR;ECC-PMP-B-FTS
ECCS-INJECTION,7,5.18027e-07,ECC-PMP-A-FTR;ECC-PMP-B-FTR
RHR,1,1.44e-06,RHR-PMP-A-FTS;RHR-PMP-B-FTS
RHR,2,8.63689e-07,RHR-PMP-A-FTS;RHR-PMP-B-FTR
RHR,3,8.63689e-07,RHR-PMP-A-FTR;RHR-PMP-B-FTS
RHR,4,5.18027e-07,RHR-PMP-A-FTR;RHR-PMP-B-FTR
RPS,1,2e-05,RPS-BREAKER-CCF
RPS,2,1e-05,RPS-LOGIC-FAIL
SLOCA/02,1,7.2e-10,RHR-PMP-A-FTS;RHR-PMP-B-FTS
SLOCA/02,2,4.31845e-10,RHR-PMP-A-FTS;RHR-PMP-B-FTR
SLOCA/02,3,4.31845e-10,RHR-PMP-A-FTR;RHR-PMP-B-FTS
SLOCA/02,4,2.59013e-10,RHR-PMP-A-FTR;RHR-PMP-B-FTR
SLOCA/03,1,1.278e-08,CCF-ECC-PMP-FTS-A-B
SLOCA/03,2,3.52332e-09,ECC-PMP-A-TM;ECC-PMP-B-FTS
SLOCA/03,3,2.15922e-09,ECC-PMP-A-TM;ECC-PMP-B-FTR
SLOCA/03,4,6.89655e-10,ECC-PMP-A-FTS;ECC-PMP-B-FTS
SLOCA/03,5,4.22646e-10,ECC-PMP-A-FTS;ECC-PMP-B-FTR
SLOCA/03,6,4.22646e-10,ECC-PMP-A-FTR;ECC-PMP-B-FTS
SLOCA/03,7,2.59013e-10,ECC-PMP-A-FTR;ECC-PMP-B-FTR
SLOCA/04,1,1e-08,RPS-BREAKER-CCF
SLOCA/04,2,5e-09,RPS-LOGIC-FAIL
