gate,input,position
ECC-INJ-TOP,ECC-TRAIN-A,1
ECC-INJ-TOP,ECC-TRAIN-B,2
ECC-TRAIN-A,ECC-PMP-A-FTS,1
ECC-TRAIN-A,ECC-PMP-A-FTR,2
ECC-TRAIN-A,ECC-PMP-A-TM,3
ECC-TRAIN-A,ECC-TRAIN-A-OOS,4
ECC-TRAIN-A,ECC-SUPPORT-A,5
ECC-TRAIN-B,ECC-PMP-B-FTS,1
ECC-TRAIN-B,ECC-PMP-B-FTR,2
ECC-TRAIN-B,ECC-SUPPORT-B,3
ECC-SUPPORT-A,ECC-PMP-A-TM,1
ECC-SUPPORT-B,ECC-PMP-B-FTS,1
RHR-TOP,RHR-TRAIN-A,1
RHR-TOP,RHR-TRAIN-B,2
RHR-TRAIN-A,RHR-PMP-A-FTS,1
RHR-TRAIN-A,RHR-PMP-A-FTR,2
RHR-TRAIN-B,RHR-PMP-B-FTS,1
RHR-TRAIN-B,RHR-PMP-B-FTR,2
RT-TOP,RPS-BREAKER-CCF,1
RT-TOP,RPS-LOGIC-FAIL,2
